Element id: login, X: 729, Y: 303 [object MouseEvent] 1471018431916
Element id: menu1, X: 177, Y: 102 [object MouseEvent] 1471018571395
Element id: 2fb, X: 109, Y: 457 [object MouseEvent] 1471018644512
Element id: backblockA, X: 109, Y: 457 [object MouseEvent] 1471018647770
Element id: backblockA, X: 1186, Y: 365 [object MouseEvent] 1471018650284
Element id: drag1, X: 575, Y: 50 [object MouseEvent] 1471018654753
Element id: drag1, X: 575, Y: 50 [object MouseEvent] 1471018655442
Element id: drag1, X: 575, Y: 50 [object DragEvent] 1471018655815
Element id: drag1, X: 502, Y: 285 [object DragEvent] 1471018656717
Element id: proceedbutton, X: 617, Y: 402 [object MouseEvent] 1471018664775
Result: correct number chosen, PUID: 2, 1471018668354
Result: positions wrong, PUID: 2, 1471018669534
Element id: div_1471018656714, X: 187, Y: 122 [object MouseEvent] 1471018670704
Element id: div_1471018656714, X: 187, Y: 122 [object DragEvent] 1471018670866
Element id: div_1471018656714, X: 836, Y: 232 [object DragEvent] 1471018671303
Element id: , X: 189, Y: 131 [object MouseEvent] 1471018672850
Element id: , X: 197, Y: 133 [object MouseEvent] 1471018681688
Element id: , X: 200, Y: 115 [object MouseEvent] 1471018712042
Element id: , X: 207, Y: 106 [object MouseEvent] 1471018713865
Element id: drag1, X: 583, Y: 48 [object MouseEvent] 1471018715186
Element id: drag1, X: 583, Y: 48 [object DragEvent] 1471018715398
Element id: drag1, X: 645, Y: 362 [object DragEvent] 1471018718166
Element id: 2fb3, X: 1041, Y: 367 [object MouseEvent] 1471018720699
Element id: drag2, X: 583, Y: 111 [object MouseEvent] 1471018723194
Element id: drag2, X: 583, Y: 111 [object DragEvent] 1471018723893
Element id: drag2, X: 643, Y: 362 [object DragEvent] 1471018724876
Element id: 2fb2, X: 960, Y: 280 [object MouseEvent] 1471018725831
Element id: 2afb, X: 238, Y: 380 [object MouseEvent] 1471018733090
Element id: drag4, X: 572, Y: 237 [object MouseEvent] 1471018759409
Element id: drag4, X: 572, Y: 237 [object DragEvent] 1471018759602
Element id: drag4, X: 622, Y: 372 [object DragEvent] 1471018760403
Element id: 2afb2, X: 1017, Y: 272 [object MouseEvent] 1471018762316
Element id: 4fb, X: 222, Y: 441 [object MouseEvent] 1471018773735
Element id: drag2, X: 585, Y: 107 [object MouseEvent] 1471018800876
Element id: drag2, X: 585, Y: 107 [object DragEvent] 1471018801068
Element id: drag2, X: 632, Y: 371 [object DragEvent] 1471018801891
Element id: drag4, X: 583, Y: 233 [object MouseEvent] 1471018814262
Element id: drag4, X: 583, Y: 233 [object DragEvent] 1471018814817
Element id: drag4, X: 571, Y: 438 [object DragEvent] 1471018815674
Element id: drag3, X: 584, Y: 168 [object MouseEvent] 1471018817087
Element id: drag3, X: 584, Y: 168 [object DragEvent] 1471018817232
Element id: drag3, X: 580, Y: 317 [object DragEvent] 1471018818408
Element id: 4fb2, X: 1054, Y: 308 [object MouseEvent] 1471018819316
Element id: 4fb, X: 222, Y: 444 [object MouseEvent] 1471018821340
Element id: 4fb3, X: 1053, Y: 383 [object MouseEvent] 1471018823705
Element id: , X: 998, Y: 240 [object MouseEvent] 1471018825145
Element id: backblockA, X: 1250, Y: 209 [object MouseEvent] 1471018876143
Element id: instructions-p, X: 706, Y: 375 [object MouseEvent] 1471018876810
Element id: 4fb3, X: 979, Y: 353 [object MouseEvent] 1471018887208
Element id: drag2, X: 578, Y: 120 [object MouseEvent] 1471018890836
Element id: drag2, X: 578, Y: 120 [object DragEvent] 1471018891029
Element id: drag2, X: 619, Y: 387 [object DragEvent] 1471018892213
Element id: div_1471018892208, X: 314, Y: 207 [object MouseEvent] 1471018893358
Element id: div_1471018892208, X: 314, Y: 207 [object DragEvent] 1471018893601
Element id: drag1, X: 585, Y: 60 [object MouseEvent] 1471018899219
Element id: drag1, X: 585, Y: 60 [object DragEvent] 1471018899357
Element id: drag1, X: 568, Y: 337 [object DragEvent] 1471018900964
Element id: , X: 253, Y: 162 [object MouseEvent] 1471018902038
Element id: , X: 269, Y: 146 [object MouseEvent] 1471018903362
Element id: , X: 261, Y: 141 [object MouseEvent] 1471018906795
Element id: , X: 266, Y: 144 [object MouseEvent] 1471018908728
Element id: , X: 266, Y: 144 [object DragEvent] 1471018909142
Element id: , X: 264, Y: 447 [object DragEvent] 1471018909407
Element id: div_1471018900955, X: 266, Y: 162 [object MouseEvent] 1471018910245
Element id: div_1471018900955, X: 266, Y: 162 [object DragEvent] 1471018910490
Element id: , X: 285, Y: 96 [object MouseEvent] 1471018912146
Element id: , X: 260, Y: 103 [object MouseEvent] 1471018914045
Element id: , X: 260, Y: 103 [object DragEvent] 1471018914278
Element id: , X: 873, Y: 497 [object DragEvent] 1471018915523
Element id: div_1471018911198, X: 293, Y: 89 [object MouseEvent] 1471018916896
Element id: div_1471018911198, X: 293, Y: 89 [object DragEvent] 1471018917082
Element id: drag1, X: 596, Y: 50 [object MouseEvent] 1471018920008
Element id: drag1, X: 596, Y: 50 [object DragEvent] 1471018920249
Element id: drag1, X: 582, Y: 309 [object DragEvent] 1471018922315
Element id: , X: 299, Y: 125 [object MouseEvent] 1471018923680
Element id: div_1471018922310, X: 275, Y: 116 [object MouseEvent] 1471018925517
Element id: div_1471018922310, X: 275, Y: 116 [object DragEvent] 1471018925828
Element id: drag2, X: 571, Y: 114 [object MouseEvent] 1471018930442
Element id: drag2, X: 571, Y: 114 [object DragEvent] 1471018930667
Element id: drag2, X: 554, Y: 442 [object DragEvent] 1471018932662
Element id: 4fb2, X: 1004, Y: 265 [object MouseEvent] 1471018934436
Element id: 2fb, X: 120, Y: 327 [object MouseEvent] 1471018951785
Element id: 2fb2, X: 985, Y: 288 [object MouseEvent] 1471018958007
Element id: 2afb, X: 136, Y: 378 [object MouseEvent] 1471018959560
Element id: 2afb2, X: 1028, Y: 272 [object MouseEvent] 1471018968876
Element id: 4fb, X: 235, Y: 448 [object MouseEvent] 1471018970476
Element id: 4fb2, X: 990, Y: 311 [object MouseEvent] 1471018976009
Element id: 3fb, X: 199, Y: 508 [object MouseEvent] 1471018977982
Element id: 3fb2, X: 1034, Y: 292 [object MouseEvent] 1471018981607
Element id: 3fb, X: 217, Y: 511 [object MouseEvent] 1471018983262
Element id: drag1, X: 580, Y: 58 [object MouseEvent] 1471018995133
Element id: drag1, X: 580, Y: 58 [object DragEvent] 1471018995285
Element id: drag1, X: 612, Y: 351 [object DragEvent] 1471018996150
Element id: drag1, X: 568, Y: 57 [object MouseEvent] 1471018997030
Element id: drag1, X: 568, Y: 57 [object DragEvent] 1471018997135
Element id: drag1, X: 551, Y: 430 [object DragEvent] 1471018998015
Element id: 3fb2, X: 989, Y: 290 [object MouseEvent] 1471018998857
Element id: 3fb, X: 237, Y: 521 [object MouseEvent] 1471019001186
Element id: backblockA, X: 237, Y: 521 [object MouseEvent] 1471019004778
Element id: 3fb2, X: 998, Y: 301 [object MouseEvent] 1471019006419
Element id: 3fb, X: 233, Y: 519 [object MouseEvent] 1471019008636
Element id: 3fb3, X: 1059, Y: 380 [object MouseEvent] 1471019010162
Element id: 3fb2, X: 1024, Y: 284 [object MouseEvent] 1471019011202
Element id: 3fb, X: 116, Y: 521 [object MouseEvent] 1471019012415
Element id: 3fb2, X: 1016, Y: 291 [object MouseEvent] 1471019015252
Element id: 2fb, X: 224, Y: 338 [object MouseEvent] 1471019016571
Element id: 2fb2, X: 1010, Y: 280 [object MouseEvent] 1471019021312
Element id: 2afb, X: 245, Y: 371 [object MouseEvent] 1471019023014
Element id: 2afb2, X: 1015, Y: 274 [object MouseEvent] 1471019026221
Element id: 6fb, X: 348, Y: 521 [object MouseEvent] 1471019028961
Element id: 6fb2, X: 991, Y: 293 [object MouseEvent] 1471019051111
Element id: 2fb, X: 158, Y: 334 [object MouseEvent] 1471019053097
Element id: , X: 348, Y: 182 [object MouseEvent] 1471019056334
Element id: , X: 358, Y: 196 [object MouseEvent] 1471019060010
Element id: , X: 322, Y: 184 [object MouseEvent] 1471019061989
Element id: , X: 706, Y: 216 [object MouseEvent] 1471019064492
Element id: 2fb3, X: 1007, Y: 368 [object MouseEvent] 1471019065207
Element id: drag2, X: 580, Y: 115 [object MouseEvent] 1471019067459
Element id: drag2, X: 580, Y: 115 [object DragEvent] 1471019067628
Element id: drag2, X: 626, Y: 370 [object DragEvent] 1471019069046
Element id: , X: 330, Y: 208 [object MouseEvent] 1471019070070
Element id: , X: 322, Y: 187 [object MouseEvent] 1471019071592
Element id: , X: 342, Y: 213 [object MouseEvent] 1471019072985
Element id: 2fb3, X: 981, Y: 354 [object MouseEvent] 1471019074536
Element id: drag4, X: 575, Y: 229 [object MouseEvent] 1471019075515
Element id: drag4, X: 575, Y: 229 [object DragEvent] 1471019075667
Element id: drag4, X: 626, Y: 358 [object DragEvent] 1471019076830
Element id: proceedbutton, X: 608, Y: 396 [object MouseEvent] 1471019079404
Result: correct number chosen, PUID: 2, 1471019092457
Result: positions nearly correct, PUID: 2, 1471019097569
Element id: 2fb2, X: 1018, Y: 283 [object MouseEvent] 1471019100127
Element id: 2afb, X: 245, Y: 378 [object MouseEvent] 1471019101562
Element id: proceedbutton, X: 609, Y: 400 [object MouseEvent] 1471019104823
Result: correct number chosen, PUID: 2a, 1471019108113
Result: positions nearly correct, PUID: 2a, 1471019110413
Element id: 2afb2, X: 1028, Y: 278 [object MouseEvent] 1471019114948
Element id: 4fb, X: 219, Y: 442 [object MouseEvent] 1471019116174
Element id: proceedbutton, X: 609, Y: 393 [object MouseEvent] 1471019118572
Result: correct number chosen, PUID: 4, 1471019122114
Result: positions nearly correct, PUID: 4, 1471019124701
Element id: 4fb2, X: 985, Y: 301 [object MouseEvent] 1471019126275
Element id: 3fb, X: 167, Y: 519 [object MouseEvent] 1471019127449
Element id: drag1, X: 581, Y: 37 [object MouseEvent] 1471019131986
Element id: drag1, X: 581, Y: 37 [object DragEvent] 1471019132179
Element id: drag1, X: 631, Y: 329 [object DragEvent] 1471019133280
Element id: drag1, X: 580, Y: 69 [object MouseEvent] 1471019135088
Element id: drag1, X: 580, Y: 69 [object DragEvent] 1471019135217
Element id: drag1, X: 567, Y: 452 [object DragEvent] 1471019136486
Element id: proceedbutton, X: 598, Y: 395 [object MouseEvent] 1471019138114
Result: correct number chosen, PUID: 3, 1471019141334
Result: positions nearly correct, PUID: 3, 1471019144704
Element id: 3fb2, X: 977, Y: 294 [object MouseEvent] 1471019145872
Element id: 3fb, X: 180, Y: 520 [object MouseEvent] 1471019149110
Element id: 3fb2, X: 978, Y: 285 [object MouseEvent] 1471019151435
Element id: 6fb, X: 368, Y: 520 [object MouseEvent] 1471019152461
Element id: drag1, X: 592, Y: 56 [object MouseEvent] 1471019154078
Element id: drag1, X: 592, Y: 56 [object DragEvent] 1471019154192
Element id: drag1, X: 585, Y: 303 [object DragEvent] 1471019155240
Element id: , X: 288, Y: 117 [object MouseEvent] 1471019156564
Element id: 6fb3, X: 999, Y: 386 [object MouseEvent] 1471019158211
Element id: drag1, X: 572, Y: 46 [object MouseEvent] 1471019159358
Element id: drag1, X: 572, Y: 46 [object DragEvent] 1471019159494
Element id: drag1, X: 560, Y: 293 [object DragEvent] 1471019161688
Element id: drag1, X: 571, Y: 59 [object MouseEvent] 1471019162623
Element id: drag1, X: 571, Y: 59 [object DragEvent] 1471019162720
Element id: drag1, X: 617, Y: 344 [object DragEvent] 1471019163919
Element id: drag1, X: 582, Y: 68 [object MouseEvent] 1471019164875
Element id: drag1, X: 582, Y: 68 [object DragEvent] 1471019164988
Element id: drag1, X: 620, Y: 417 [object DragEvent] 1471019166508
Element id: drag1, X: 581, Y: 55 [object MouseEvent] 1471019167499
Element id: drag1, X: 581, Y: 55 [object DragEvent] 1471019167686
Element id: drag1, X: 567, Y: 436 [object DragEvent] 1471019168879
Element id: drag1, X: 569, Y: 66 [object MouseEvent] 1471019170361
Element id: drag1, X: 569, Y: 66 [object DragEvent] 1471019170506
Element id: drag1, X: 490, Y: 413 [object DragEvent] 1471019171888
Element id: proceedbutton, X: 604, Y: 395 [object MouseEvent] 1471019172833
Result: correct number chosen, PUID: 6, 1471019174846
Result: positions nearly correct, PUID: 6, 1471019176218
Element id: 6fb2, X: 1012, Y: 293 [object MouseEvent] 1471019179841
Element id: 3-6latb, X: 196, Y: 597 [object MouseEvent] 1471019201314
Element id: drag1, X: 587, Y: 54 [object MouseEvent] 1471019231881
Element id: drag1, X: 587, Y: 54 [object DragEvent] 1471019232057
Element id: drag1, X: 556, Y: 402 [object DragEvent] 1471019232795
Element id: proceedbutton, X: 607, Y: 390 [object MouseEvent] 1471019235394
Result: wrong number chosen, PUID: Hlat, 1471019237743
Result: Lattice positions incorrect, PUID: Hlat, 1471019240738
Element id: div_1471019232785, X: 255, Y: 225 [object MouseEvent] 1471019243718
Element id: div_1471019232785, X: 255, Y: 225 [object DragEvent] 1471019244143
Element id: drag1, X: 574, Y: 52 [object MouseEvent] 1471019248426
Element id: drag1, X: 574, Y: 52 [object DragEvent] 1471019248570
Element id: drag1, X: 378, Y: 352 [object DragEvent] 1471019250592
Element id: drag1, X: 576, Y: 46 [object MouseEvent] 1471019252108
Element id: drag1, X: 576, Y: 46 [object DragEvent] 1471019252302
Element id: drag1, X: 476, Y: 350 [object DragEvent] 1471019255503
Element id: drag1, X: 574, Y: 58 [object MouseEvent] 1471019256450
Element id: drag1, X: 574, Y: 58 [object DragEvent] 1471019256579
Element id: drag1, X: 523, Y: 388 [object DragEvent] 1471019259629
Element id: drag1, X: 586, Y: 45 [object MouseEvent] 1471019260766
Element id: drag1, X: 586, Y: 45 [object DragEvent] 1471019260950
Element id: drag1, X: 524, Y: 437 [object DragEvent] 1471019263036
Element id: div_1471019263005, X: 221, Y: 267 [object MouseEvent] 1471019263841
Element id: div_1471019263005, X: 221, Y: 267 [object DragEvent] 1471019264049
Element id: drag1, X: 578, Y: 70 [object MouseEvent] 1471019266463
Element id: drag1, X: 578, Y: 70 [object DragEvent] 1471019266624
Element id: drag1, X: 525, Y: 510 [object DragEvent] 1471019269290
Element id: drag1, X: 579, Y: 50 [object MouseEvent] 1471019274277
Element id: drag1, X: 579, Y: 50 [object DragEvent] 1471019274824
Element id: drag1, X: 479, Y: 534 [object DragEvent] 1471019276268
Element id: drag1, X: 575, Y: 47 [object MouseEvent] 1471019277107
Element id: drag1, X: 575, Y: 47 [object DragEvent] 1471019277235
